speaker,text_set,count,sum_convert_sec,sum,mean,median,max,min
남1,동화1,2100,2h 0m 14s,7214.51,3.44,3.2,13.27,1.08
남1,소설1,2070,1h 52m 48s,6768.5,3.27,3.04,7.58,1.22
남1,어학1,2034,1h 9m 47s,4187.05,2.06,1.83,5.88,0.41
남1,자기계발1,1900,2h 4m 40s,7480.12,3.94,3.9,7.27,1.48
남2,동화1,2372,2h 10m 16s,7816.82,3.3,3.05,12.52,0.93
남2,소설1,2731,2h 28m 46s,8926.29,3.27,3.0,7.89,1.09
남2,어학1,1951,1h 41m 2s,6062.47,3.11,2.8,7.88,1.24
남2,자기계발1,1800,2h 0m 10s,7210.43,4.01,3.9,7.98,1.27
남2,자기계발2,2300,4h 16m 33s,15393.53,6.69,6.55,12.7,2.51
남3,뉴스,1500,3h 12m 24s,11544.2,7.7,7.54,14.42,3.05
남4,동화2,1766,3h 11m 39s,11499.88,6.51,6.22,13.94,3.11
남5,소설2,2200,3h 12m 10s,11530.16,5.24,5.03,14.16,2.45
남6,동화2,1880,3h 14m 56s,11696.82,6.22,5.97,13.59,2.71
남7,어학2,3104,3h 53m 36s,14016.45,4.52,4.13,12.49,2.21
여1,동화1,2168,1h 59m 19s,7159.93,3.3,3.06,11.46,1.11
여1,소설1,2340,2h 9m 57s,7797.47,3.33,3.1,7.62,0.99
여1,어학1,1205,1h 4m 2s,3842.12,3.19,2.92,7.92,1.22
여1,자기계발1,1800,2h 2m 8s,7328.84,4.07,3.96,7.99,1.44
여1,자기계발2,2370,4h 30m 35s,16235.01,6.85,6.75,14.27,1.08
여2,동화1,2019,2h 0m 54s,7254.72,3.59,3.36,13.47,1.02
여2,동화2,2184,3h 32m 2s,12722.44,5.83,5.56,20.49,2.42
여2,소설1,2287,2h 3m 11s,7391.08,3.23,2.98,8.84,0.97
여2,어학1,1800,1h 6m 46s,4006.52,2.23,1.92,7.96,0.28
여2,자기계발1,1850,2h 20m 10s,8410.97,4.55,4.48,9.02,1.09
여3,동화2,1900,3h 5m 44s,11144.56,5.87,5.6,13.2,2.5
여4,뉴스,1604,3h 14m 38s,11679.0,7.28,7.16,14.9,3.16
여5,소설2,2220,3h 12m 15s,11535.05,5.2,4.96,12.7,2.5
여6,어학2,3104,3h 49m 49s,13789.41,4.44,4.14,11.75,2.47
